num_doctors,patient_arrival_rate,mean_consult_time,total_patients,avg_wait_time,avg_service_time,avg_queue_length,doctor_utilization
1,0.1,20,26.0,92.45153161661766,19.512361088148737,10.088100208768267,100.32066299174306
1,0.15,20,24.0,145.47442438546972,20.486688743362407,26.88475991649269,101.34203639861269
1,0.2,20,23.2,176.67730043482555,21.67018141255185,37.373695198329855,102.04773599869092
1,0.25,20,28.2,183.07575158598513,17.476878790000605,44.095615866388314,102.07978463274927
1,0.3,20,23.8,196.34604250694613,21.552343620419276,58.258037578288096,104.67798196184097
2,0.1,20,39.2,31.982966790273316,22.77195919517974,3.104384133611691,91.18527862005956
2,0.15,20,44.8,85.06108154679605,20.924825347979578,11.061377870563675,97.4490763458577
2,0.2,20,50.4,106.51554470370175,19.64540303403483,23.7615866388309,102.70057712145993
2,0.25,20,52.4,120.35570292263091,19.295337705093495,33.72359081419624,102.02203088811822
2,0.3,20,57.4,117.39310598178186,17.581586056332483,37.61252609603341,103.68727791898928
3,0.1,20,51.2,11.275265687468375,20.075986170154824,1.310229645093946,71.64313517344408
3,0.15,20,68.4,26.751475055748536,19.85245714228423,3.9578288100208767,93.44384935014777
3,0.2,20,69.2,64.90196480375951,21.101385351525767,13.58580375782881,101.268721619507
3,0.25,20,75.0,103.2926331387765,19.209842105840806,27.789979123173282,99.06969295802294
3,0.3,20,75.8,115.20089200376796,19.74768475251455,36.26304801670146,101.45192663999212
4,0.1,20,54.2,2.0363621251748585,21.307229267590383,0.23757828810020878,60.066308107009306
4,0.15,20,70.6,3.6460277733130964,18.58476138548838,0.612526096033403,68.22713622244797
4,0.2,20,86.0,28.67888731603798,21.122722723440166,6.4104384133611685,93.37306618170155
4,0.25,20,94.4,55.01365517613918,20.525610313047487,14.042588726513571,100.35450461853732
4,0.3,20,101.8,61.15866442868169,18.994557822421534,19.297286012526094,99.80977487567336
5,0.1,20,45.8,0.47206878755128,20.03016963087206,0.04634655532359082,38.54553922729544
5,0.15,20,73.4,2.195755218883864,19.296823260141966,0.3507306889352818,58.92298823891825
5,0.2,20,92.2,3.0224784987119,21.119435374724056,0.7870563674321504,81.07201850680156
5,0.25,20,114.6,14.026037347842934,18.952959948388866,3.7436325678496862,89.85604375375063
5,0.3,20,120.6,37.06891189444445,19.721681119025764,11.566179540709811,99.08669739155653
